StateVec,Action,Reward,SLAMet,CPUCost,Source
"[80.35, 1.004375]",0.0,1,YES,80.35,RoundRobin
"[58, 5977, 46, 24, 2]",0.0,1,YES,8.64,Original
"[86.4, 1.08]",0.0,1,YES,86.4,XGBoost
"[81.61, 1.020125]",0.0,1,YES,81.61,XGBoost
"[71.05, 0.888125]",0.0,1,YES,71.05,XGBoost
"[92.51, 1.156375]",0.0,1,YES,92.51,FCFS
"[170.22, 1.063875]",2.0,1,YES,170.22,XGBoost
"[108.66, 0.9055]",1.0,0,NO,108.66,RoundRobin
"[70, 7569, 99, 41, 2]",0.0,1,YES,6.69,Original
"[108.03, 0.90025]",1.0,0,NO,108.03,RoundRobin
"[134.79, 1.12325]",1.0,0,NO,134.79,FCFS
"[110.67, 0.92225]",1.0,0,NO,110.67,RoundRobin
"[134.13, 1.11775]",1.0,0,NO,134.13,RoundRobin
"[131.985, 1.099875]",1.0,0,NO,131.985,RoundRobin
"[84.17, 1.052125]",0.0,1,YES,84.17,RoundRobin
"[132.96, 1.108]",1.0,0,NO,132.96,RoundRobin
"[172.02, 1.075125]",2.0,0,NO,172.02,FCFS
"[108.45, 0.90375]",1.0,0,NO,108.45,RoundRobin
"[196.04, 1.22525]",2.0,0,NO,196.04,RoundRobin
"[131.385, 1.094875]",1.0,0,NO,131.385,RoundRobin
"[93.16, 1.1645]",0.0,1,YES,93.16,XGBoost
"[109.86, 0.9155]",1.0,0,NO,109.86,FCFS
"[161.74, 1.010875]",2.0,0,NO,161.74,RoundRobin
"[96.57, 1.207125]",0.0,1,YES,96.57,FCFS
"[126.075, 1.050625]",1.0,0,NO,126.075,RoundRobin
"[180.48, 1.128]",2.0,0,NO,180.48,FCFS
"[70.59, 0.882375]",0.0,1,YES,70.59,XGBoost
"[191.96, 1.19975]",2.0,0,NO,191.96,FCFS
"[186.8, 1.1675]",2.0,0,NO,186.8,FCFS
"[171.74, 1.073375]",2.0,1,YES,171.74,XGBoost
"[141.03, 1.17525]",1.0,0,NO,141.03,FCFS
"[74.12, 0.9265]",0.0,1,YES,74.12,FCFS
"[159.22, 0.995125]",2.0,0,NO,159.22,FCFS
"[82.6, 1.0325]",0.0,1,YES,82.6,XGBoost
"[143.925, 1.199375]",1.0,0,NO,143.925,RoundRobin
"[162.82, 1.017625]",2.0,0,NO,162.82,RoundRobin
"[96.57, 1.207125]",0.0,1,YES,96.57,XGBoost
"[151.32, 0.94575]",2.0,0,NO,151.32,XGBoost
"[196.66, 1.229125]",2.0,1,YES,196.66,XGBoost
"[199.84, 1.249]",2.0,0,NO,199.84,RoundRobin
"[109.59, 0.91325]",1.0,0,NO,109.59,RoundRobin
"[71.74, 0.89675]",0.0,1,YES,71.74,FCFS
"[58, 15860, 17, 30, 3]",1.0,1,YES,1.07,Original
"[74.76, 0.9345]",0.0,1,YES,74.76,XGBoost
"[180.08, 1.1255]",2.0,0,NO,180.08,RoundRobin
"[132.285, 1.102375]",1.0,0,NO,132.285,FCFS
"[71.4, 0.8925]",0.0,1,YES,71.4,XGBoost
"[78.38, 0.97975]",0.0,1,YES,78.38,XGBoost
"[121.95, 1.01625]",1.0,0,NO,121.95,FCFS
"[84.96, 1.062]",0.0,1,YES,84.96,XGBoost
"[183.76, 1.1485]",2.0,0,NO,183.76,RoundRobin
"[107.715, 0.897625]",1.0,0,NO,107.715,RoundRobin
"[71.87, 0.898375]",0.0,1,YES,71.87,XGBoost
"[83.77, 1.047125]",0.0,1,YES,83.77,XGBoost
"[89.5, 1.11875]",0.0,1,YES,89.5,XGBoost
"[75.53, 0.944125]",0.0,1,YES,75.53,XGBoost
"[81.27, 1.015875]",0.0,1,YES,81.27,XGBoost
"[149.4, 0.93375]",2.0,0,NO,149.4,XGBoost
