StateVec,Action,Reward,SLAMet,CPUCost,Source,NextState,Done
"[72.94, 0.91175, 0.0, 0.0, 0.0]",0.0,1,YES,72.94,RoundRobin,"[72.94, 0.91175, 0.0, 0.0, 0.0]",False
"[186.2, 1.16375, 0.0, 0.0, 0.0]",2.0,0,NO,186.2,FCFS,"[186.2, 1.16375, 0.0, 0.0, 0.0]",False
"[147.99, 1.23325, 0.0, 0.0, 0.0]",1.0,0,NO,147.99,RoundRobin,"[147.99, 1.23325, 0.0, 0.0, 0.0]",False
"[178.16, 1.1135, 0.0, 0.0, 0.0]",2.0,0,NO,178.16,RoundRobin,"[178.16, 1.1135, 0.0, 0.0, 0.0]",False
"[90.02, 1.12525, 0.0, 0.0, 0.0]",0.0,1,YES,90.02,XGBoost,"[90.02, 1.12525, 0.0, 0.0, 0.0]",False
"[66, 9266, 42, 25, 3]",0.0,1,YES,7.87,Original,"[66, 9266, 42, 25, 3]",False
"[46, 5264, 13, 25, 1]",0.0,1,YES,9.9,Original,"[46, 5264, 13, 25, 1]",False
"[122.97, 1.02475, 0.0, 0.0, 0.0]",1.0,0,NO,122.97,FCFS,"[122.97, 1.02475, 0.0, 0.0, 0.0]",False
"[89.63, 1.120375, 0.0, 0.0, 0.0]",0.0,1,YES,89.63,XGBoost,"[89.63, 1.120375, 0.0, 0.0, 0.0]",False
"[152.38, 0.952375, 0.0, 0.0, 0.0]",2.0,0,NO,152.38,RoundRobin,"[152.38, 0.952375, 0.0, 0.0, 0.0]",False
"[86.44, 1.0805, 0.0, 0.0, 0.0]",0.0,1,YES,86.44,XGBoost,"[86.44, 1.0805, 0.0, 0.0, 0.0]",False
"[159.54, 0.997125, 0.0, 0.0, 0.0]",2.0,0,NO,159.54,XGBoost,"[159.54, 0.997125, 0.0, 0.0, 0.0]",False
"[145.02, 1.2085, 0.0, 0.0, 0.0]",1.0,0,NO,145.02,RoundRobin,"[145.02, 1.2085, 0.0, 0.0, 0.0]",False
"[85.57, 1.069625, 0.0, 0.0, 0.0]",0.0,1,YES,85.57,XGBoost,"[85.57, 1.069625, 0.0, 0.0, 0.0]",False
"[163.58, 1.022375, 0.0, 0.0, 0.0]",2.0,0,NO,163.58,RoundRobin,"[163.58, 1.022375, 0.0, 0.0, 0.0]",False
"[111.93, 0.93275, 0.0, 0.0, 0.0]",1.0,0,NO,111.93,RoundRobin,"[111.93, 0.93275, 0.0, 0.0, 0.0]",False
"[179.26, 1.120375, 0.0, 0.0, 0.0]",2.0,0,NO,179.26,RoundRobin,"[179.26, 1.120375, 0.0, 0.0, 0.0]",False
"[87.04, 1.088, 0.0, 0.0, 0.0]",0.0,1,YES,87.04,XGBoost,"[87.04, 1.088, 0.0, 0.0, 0.0]",False
"[78.69, 0.983625, 0.0, 0.0, 0.0]",0.0,1,YES,78.69,RoundRobin,"[78.69, 0.983625, 0.0, 0.0, 0.0]",False
"[191.94, 1.199625, 0.0, 0.0, 0.0]",2.0,0,NO,191.94,RoundRobin,"[191.94, 1.199625, 0.0, 0.0, 0.0]",False
"[71.27, 0.890875, 0.0, 0.0, 0.0]",0.0,1,YES,71.27,XGBoost,"[71.27, 0.890875, 0.0, 0.0, 0.0]",False
"[142.2, 0.88875, 0.0, 0.0, 0.0]",2.0,0,NO,142.2,FCFS,"[142.2, 0.88875, 0.0, 0.0, 0.0]",False
"[124.71, 1.03925, 0.0, 0.0, 0.0]",1.0,0,NO,124.71,FCFS,"[124.71, 1.03925, 0.0, 0.0, 0.0]",False
"[159.66, 0.997875, 0.0, 0.0, 0.0]",2.0,0,NO,159.66,RoundRobin,"[159.66, 0.997875, 0.0, 0.0, 0.0]",False
"[88.91, 1.111375, 0.0, 0.0, 0.0]",0.0,1,YES,88.91,FCFS,"[88.91, 1.111375, 0.0, 0.0, 0.0]",False
"[132.285, 1.102375, 0.0, 0.0, 0.0]",1.0,0,NO,132.285,RoundRobin,"[132.285, 1.102375, 0.0, 0.0, 0.0]",False
"[128.655, 1.072125, 0.0, 0.0, 0.0]",1.0,0,NO,128.655,RoundRobin,"[128.655, 1.072125, 0.0, 0.0, 0.0]",False
"[90, 8914, 54, 12, 1]",0.0,1,YES,9.93,Original,"[90, 8914, 54, 12, 1]",False
"[83.06, 1.03825, 0.0, 0.0, 0.0]",0.0,1,YES,83.06,FCFS,"[83.06, 1.03825, 0.0, 0.0, 0.0]",False
"[149.835, 1.248625, 0.0, 0.0, 0.0]",1.0,0,NO,149.835,FCFS,"[149.835, 1.248625, 0.0, 0.0, 0.0]",False
"[85.24, 1.0655, 0.0, 0.0, 0.0]",0.0,1,YES,85.24,XGBoost,"[85.24, 1.0655, 0.0, 0.0, 0.0]",False
"[173.52, 1.0845, 0.0, 0.0, 0.0]",2.0,0,NO,173.52,FCFS,"[173.52, 1.0845, 0.0, 0.0, 0.0]",False
"[80.19, 1.002375, 0.0, 0.0, 0.0]",0.0,1,YES,80.19,XGBoost,"[80.19, 1.002375, 0.0, 0.0, 0.0]",False
"[172.08, 1.0755, 0.0, 0.0, 0.0]",2.0,0,NO,172.08,RoundRobin,"[172.08, 1.0755, 0.0, 0.0, 0.0]",False
"[79.07, 0.988375, 0.0, 0.0, 0.0]",0.0,1,YES,79.07,XGBoost,"[79.07, 0.988375, 0.0, 0.0, 0.0]",False
"[73.92, 0.924, 0.0, 0.0, 0.0]",0.0,1,YES,73.92,RoundRobin,"[73.92, 0.924, 0.0, 0.0, 0.0]",False
"[72.06, 0.90075, 0.0, 0.0, 0.0]",0.0,1,YES,72.06,FCFS,"[72.06, 0.90075, 0.0, 0.0, 0.0]",False
"[111.255, 0.927125, 0.0, 0.0, 0.0]",1.0,0,NO,111.255,RoundRobin,"[111.255, 0.927125, 0.0, 0.0, 0.0]",False
"[91.27, 1.140875, 0.0, 0.0, 0.0]",0.0,1,YES,91.27,XGBoost,"[91.27, 1.140875, 0.0, 0.0, 0.0]",False
"[80.35, 1.004375, 0.0, 0.0, 0.0]",0.0,1,YES,80.35,RoundRobin,"[80.35, 1.004375, 0.0, 0.0, 0.0]",False
"[58, 5977, 46, 24, 2]",0.0,1,YES,8.64,Original,"[58, 5977, 46, 24, 2]",False
"[86.4, 1.08, 0.0, 0.0, 0.0]",0.0,1,YES,86.4,XGBoost,"[86.4, 1.08, 0.0, 0.0, 0.0]",False
"[81.61, 1.020125, 0.0, 0.0, 0.0]",0.0,1,YES,81.61,XGBoost,"[81.61, 1.020125, 0.0, 0.0, 0.0]",False
"[71.05, 0.888125, 0.0, 0.0, 0.0]",0.0,1,YES,71.05,XGBoost,"[71.05, 0.888125, 0.0, 0.0, 0.0]",False
"[92.51, 1.156375, 0.0, 0.0, 0.0]",0.0,1,YES,92.51,FCFS,"[92.51, 1.156375, 0.0, 0.0, 0.0]",False
"[170.22, 1.063875, 0.0, 0.0, 0.0]",2.0,1,YES,170.22,XGBoost,"[170.22, 1.063875, 0.0, 0.0, 0.0]",False
"[108.66, 0.9055, 0.0, 0.0, 0.0]",1.0,0,NO,108.66,RoundRobin,"[108.66, 0.9055, 0.0, 0.0, 0.0]",False
"[70, 7569, 99, 41, 2]",0.0,1,YES,6.69,Original,"[70, 7569, 99, 41, 2]",False
"[108.03, 0.90025, 0.0, 0.0, 0.0]",1.0,0,NO,108.03,RoundRobin,"[108.03, 0.90025, 0.0, 0.0, 0.0]",False
"[134.79, 1.12325, 0.0, 0.0, 0.0]",1.0,0,NO,134.79,FCFS,"[134.79, 1.12325, 0.0, 0.0, 0.0]",False
"[110.67, 0.92225, 0.0, 0.0, 0.0]",1.0,0,NO,110.67,RoundRobin,"[110.67, 0.92225, 0.0, 0.0, 0.0]",False
